method,seed,epoch,successful_updates,test_accuracy,elapsed_system_s
PPO,1,78,121914,87.23,421079.3013713929
PPO,1,79,123477,88.82,427286.5661139817
PPO,1,80,125040,90.14,432817.02244548046
Delay-only Search,2,1,1563,25.48,7552.695973392211
Delay-only Search,2,2,3126,36.82,15713.99081444036
Delay-only Search,2,3,4689,45.76,24116.947459712563
Delay-only Search,2,4,6252,48.15,32338.397823751864
Delay-only Search,2,5,7815,49.89,40913.373226767595
Delay-only Search,2,6,9378,47.29,47540.16734648396
Delay-only Search,2,7,10941,51.79,53296.299298355836
Delay-only Search,2,8,12504,59.89,60998.95823866321
Delay-only Search,2,9,14067,59.16,68065.90999425139
Delay-only Search,2,10,15630,63.53,72721.91903728002
Delay-only Search,2,11,17193,54.32,80052.12364685957
Delay-only Search,2,12,18756,63.89,85907.31513707516
Delay-only Search,2,13,20319,62.93,93577.3443100935
Delay-only Search,2,14,21882,62.57,101138.65477638945
Delay-only Search,2,15,23445,64.63,107686.74913339349
Delay-only Search,2,16,25008,66.63,113538.42803582747
Delay-only Search,2,17,26571,59.37,121962.70418511104
Delay-only Search,2,18,28134,60.73,129288.53422694071
Delay-only Search,2,19,29697,73.38,135649.63633400702
Delay-only Search,2,20,31260,69.01,143929.54349348
Delay-only Search,2,21,32823,66.46,152424.19307997695
Delay-only Search,2,22,34386,68.19,159050.28890678717
Delay-only Search,2,23,35949,66.27,167546.52097633743
Delay-only Search,2,24,37512,65.36,174123.3062728031
Delay-only Search,2,25,39075,69.49,181944.03074318485
Delay-only Search,2,26,40638,71.06,189217.70778129098
Delay-only Search,2,27,42201,69.77,195627.0769131534
Delay-only Search,2,28,43764,74.39,202353.2533356003
Delay-only Search,2,29,45327,70.35,208549.14116634044
Delay-only Search,2,30,46890,66.39,215888.18738055046
Delay-only Search,2,31,48453,67.93,221653.12625348856
Delay-only Search,2,32,50016,76.78,229292.76857575838
Delay-only Search,2,33,51579,68.07,236554.07092429145
Delay-only Search,2,34,53142,73.56,242493.3503780332
Delay-only Search,2,35,54705,73.1,250160.2904451735
Delay-only Search,2,36,56268,69.91,255395.0731086214
Delay-only Search,2,37,57831,75.49,260894.8989164919
Delay-only Search,2,38,59394,73.93,266786.4835749441
Delay-only Search,2,39,60957,64.06,275338.82114850095
Delay-only Search,2,40,62520,70.38,282804.8656326916
Delay-only Search,2,41,64083,75.56,289841.40144195996
Delay-only Search,2,42,65646,70.6,295674.3330425293
Delay-only Search,2,43,67209,75.15,302357.47746276273
Delay-only Search,2,44,68772,72.86,311355.8182361949
Delay-only Search,2,45,70335,74.34,318763.8975675092
Delay-only Search,2,46,71898,77.65,325066.42680556735
Delay-only Search,2,47,73461,76.32,331739.97651924536
Delay-only Search,2,48,75024,76.61,338515.9533628082
Delay-only Search,2,49,76587,72.09,346805.56257647875
Delay-only Search,2,50,78150,73.53,353013.1389736698
Delay-only Search,2,51,79713,77.81,359139.14717041363
Delay-only Search,2,52,81276,78.9,366657.1253609903
Delay-only Search,2,53,82839,73.03,374289.89485819236
Delay-only Search,2,54,84402,78.49,381303.38080884586
Delay-only Search,2,55,85965,69.47,388579.9624704286
Delay-only Search,2,56,87528,78.52,396114.7201108627
Delay-only Search,2,57,89091,78.26,403534.42122597666
Delay-only Search,2,58,90654,78.78,409273.503049348
Delay-only Search,2,59,92217,75.88,416290.25855231227
Delay-only Search,2,60,93780,82.01,422087.29051062005
Delay-only Search,2,61,95343,80.5,429200.65853829385
Delay-only Search,2,62,96906,78.98,437294.09619575075
Delay-only Search,2,63,98469,78.98,442369.8934144335
Delay-only Search,2,64,100032,78.12,451072.36889042193
Delay-only Search,2,65,101595,83.96,458604.5131886433
Delay-only Search,2,66,103158,81.66,465668.6736955133
Delay-only Search,2,67,104721,82.19,471501.05639029655
Delay-only Search,2,68,106284,84.33,477449.533314442
Delay-only Search,2,69,107847,83.66,484654.8630613994
Delay-only Search,2,70,109410,82.72,491137.4557614164
Delay-only Search,2,71,110973,83.73,497702.6442472664
Delay-only Search,2,72,112536,84.27,504487.8763537018
Delay-only Search,2,73,114099,85.39,511721.33255736914
Delay-only Search,2,74,115662,85.74,519593.1127586948
Delay-only Search,2,75,117225,85.9,527394.1387399551
Delay-only Search,2,76,118788,86.91,533795.329614519
Delay-only Search,2,77,120351,86.2,541362.4053471035
Delay-only Search,2,78,121914,86.85,547171.1364842744
Delay-only Search,2,79,123477,88.62,553055.9035486402
Delay-only Search,2,80,125040,88.5,558139.5086946266
Delay-only Search,2,81,126603,88.89,564767.748155307
Delay-only Search,2,82,128166,89.01,570645.0338142827
Delay-only Search,2,83,129729,89.99,578612.256888708
Delay-only Search,2,84,131292,90.24,586650.8577917465
Memory-Constrained Search,2,1,1563,25.48,5747.6271790503015
Memory-Constrained Search,2,2,3126,36.82,11938.214891004522
Memory-Constrained Search,2,3,4689,45.76,18423.271113029194
Memory-Constrained Search,2,4,6252,48.15,24749.53574771708
Memory-Constrained Search,2,5,7815,49.89,31401.17533112251
Memory-Constrained Search,2,6,9378,47.29,36519.61602889222
Memory-Constrained Search,2,7,10941,51.79,40959.08120633501
Memory-Constrained Search,2,8,12504,59.89,46787.843378866644
Memory-Constrained Search,2,9,14067,59.16,52161.794705746506
Memory-Constrained Search,2,10,15630,63.53,55484.89375188272
Memory-Constrained Search,2,11,17193,54.32,61071.97588017131
Memory-Constrained Search,2,12,18756,63.89,65245.06189321519
Memory-Constrained Search,2,13,20319,62.93,71143.82376176317
Memory-Constrained Search,2,14,21882,62.57,76881.31590192202
Memory-Constrained Search,2,15,23445,64.63,81709.85009309408
Memory-Constrained Search,2,16,25008,66.63,85883.91066434878
Memory-Constrained Search,2,17,26571,59.37,92439.93248590713
Memory-Constrained Search,2,18,28134,60.73,97935.36788469643
Memory-Constrained Search,2,19,29697,73.38,102645.27710862487
Memory-Constrained Search,2,20,31260,69.01,109037.06765579518
Memory-Constrained Search,2,21,32823,66.46,115503.1688147255
Memory-Constrained Search,2,22,34386,68.19,120551.80458291974
Memory-Constrained Search,2,23,35949,66.27,126940.64771302855
Memory-Constrained Search,2,24,37512,65.36,131890.6055279673
Memory-Constrained Search,2,25,39075,69.49,137798.2365576053
Memory-Constrained Search,2,26,40638,71.06,143425.99999183716
Memory-Constrained Search,2,27,42201,69.77,148107.21648526363
Memory-Constrained Search,2,28,43764,74.39,153234.2586746923
Memory-Constrained Search,2,29,45327,70.35,157665.84424279106
Memory-Constrained Search,2,30,46890,66.39,163415.0417800135
Memory-Constrained Search,2,31,48453,67.93,167738.31890469202
Memory-Constrained Search,2,32,50016,76.78,173344.13675618556
Memory-Constrained Search,2,33,51579,68.07,179055.54866841278
Memory-Constrained Search,2,34,53142,73.56,183461.8817718237
Memory-Constrained Search,2,35,54705,73.1,189146.2017351591
Memory-Constrained Search,2,36,56268,69.91,192802.0966163776
Memory-Constrained Search,2,37,57831,75.49,196872.58389539953
Memory-Constrained Search,2,38,59394,73.93,201353.53435494547
Memory-Constrained Search,2,39,60957,64.06,207862.6018368247
Memory-Constrained Search,2,40,62520,70.38,213600.7437637481
Memory-Constrained Search,2,41,64083,75.56,218630.8998444474
Memory-Constrained Search,2,42,65646,70.6,222791.9896497861
Memory-Constrained Search,2,43,67209,75.15,227707.8426458005
Memory-Constrained Search,2,44,68772,72.86,234786.06420887398
Memory-Constrained Search,2,45,70335,74.34,240144.80169605662
